cve_estac,nom_estac,longitud,latitud
TAX,Taxqueña,-99.12321,19.33569
COY,Coyoacán,-99.1571,19.35026
PLA,Plateros,-99.20011,19.36587
BJU,Benito Juárez,-99.1596,19.37046
DIC,Diconsa,-99.18578,19.29882
FAN,Felipe Ángeles,-99.17492,19.29913
POT,Portales,-99.14577,19.37649
CFE,Museo Tecnologico de la CFE,-99.19428,19.41439
SFE,Santa fe,-99.26286,19.35736
PED,Pedregal,-99.20414,19.32515
SUR,Santa Ursula,-99.14999,19.31448
LOM,Lomas,-99.24207,19.403
HGM,Hospital General de México,-99.15221,19.41162
MIN,Metro Insurgentes,-99.16289,19.42144
IZT,Iztacalco,-99.11764,19.38441
EAJ,Ecoguardas Ajusco,-99.20397,19.27122
SHA,Secretaría de Hacienda,-99.20787,19.4462
TAC,Tacuba,-99.20245,19.45391
IBM,Legaria,-99.21536,19.44332
CUA,Cuajimalpa,-99.2917,19.36531
MCM,Museo de la Cd. de México,-99.13193,19.42907
EDL,Exconv. Desierto Leones,-99.31064,19.31336
SNT,San Nicolas Totolapan,-99.25646,19.25039
TPN,Tlalpan,-99.18417,19.25704
LAG,Lagunilla,-99.13519,19.44242
CUI,Cuitláhuac,-99.16585,19.46986
AZC,Azcapotzalco,-99.19865,19.48773
CAM,Camarones,-99.16979,19.4684
IMP,Inst. Mexicano del Petróleo,-99.14729,19.48756
LAA,Lab. de Analisis Ambiental,-99.14731,19.48378
VAL,Vallejo,-99.1657,19.52244
MER,Merced,-99.11959,19.42461
LVI,La Villa,-99.11775,19.46789
TEC,Cerro del Tepeyac,-99.11423,19.48723
UNM,Unidad Movil,-99.14714,19.48224
TLA,Tlalnepantla,-99.2046,19.52908
FAC,FES Acatlán,-99.24352,19.48247
LPR,La Presa,-99.11772,19.53473
SJA,San Juan Aragón,-99.0861,19.45259
ARA,Aragón,-99.07455,19.47022
HAN,Hangares,-99.08363,19.42052
UIZ,UAM Iztapalapa,-99.07388,19.36079
UAX,UAM Xochimilco,-99.10363,19.30444
CES,Cerro de la Estrella,-99.07468,19.33473
XCH,Xochimilco,-99.11826,19.26707
XAL,Xalostoc,-99.0824,19.526
SAG,San Agustín,-99.03033,19.53297
TLI,Tultitlán,-99.17717,19.60254
NET,Netzahualcoyotl,-99.02612,19.42115
NEZ,Nezahualcóyotl,-99.02821,19.39373
PER,La Perla,-98.99186,19.38286
COR,CORENA,-99.02604,19.26535
TAH,Tlahuac,-99.01057,19.24646
MPA,Milpa Alta,-99.01132,19.20071
AJU,Ajusco,-99.16261,19.15429
