CVE_EDO,pib_pc,pib_ppo
1,166.7440664,401.1880708
2,149.3001959,336.3233277
3,170.1261809,366.7003172
4,655.606538,1525.591659
5,194.487671,149.6879478
6,137.2203183,338.5735263
7,54.51553571,711.589334
8,143.8915265,453.3072366
9,334.9257645,288.2898398
10,113.7687948,272.4996129
11,117.5535658,280.3339109
12,66.00906655,165.8363113
13,90.58729509,222.8116878
14,144.5569789,328.2677435
15,86.50754843,208.7848896
16,88.06547146,241.1286335
17,98.94698207,209.2528839
18,95.61982461,213.1753878
19,238.6721002,535.4732878
20,63.92635539,154.3765591
21,89.11863059,210.2975803
22,189.7882278,498.5360818
23,162.5910335,338.5889089
24,123.7645076,295.803764
25,127.0320614,291.1073044
26,191.499833,427.6231618
27,218.4637537,566.2528777
28,136.8031929,315.8941826
29,75.62824255,178.3912106
30,99.83358623,266.8139554
31,112.6765759,239.5857109
32,98.9875041,256.1531965
